user,role
OKLYSHKO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
OKLYSHKO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
OKLYSHKO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
OKLYSHKO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
PBELSKI,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
PBELSKI,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
PBELSKI,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
PBELSKI,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
PBELSKI,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
PBELSKI,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
PBELSKI,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
PBELSKI,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
PBELSKI,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
PBELSKI,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
PBELSKI,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
RSLOFSTRA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
RSLOFSTRA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
RSLOFSTRA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
RSLOFSTRA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
RSLOFSTRA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
RSLOFSTRA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
RSLOFSTRA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
RSLOFSTRA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
RSLOFSTRA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
RSLOFSTRA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
SAP_SUPPORTA28841843,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
SRASSADZIN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
SRASSADZIN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
SRASSADZIN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
SRASSADZIN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
SRASSADZIN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
SRASSADZIN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
SRASSADZIN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
SRASSADZIN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
SRASSADZIN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
SRASSADZIN,PROFILE:sap.odc:Data_Catalog_Administrator
SRASSADZIN,PROFILE:sap.odc:Data_Catalog_User
SRASSADZIN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
SRASSADZIN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
SRASSADZIN,PROFILE:sap.epm:Security_Administrator
SRASSADZIN,PROFILE:t.11:ZDS_CONSUMER
SRASSADZIN,PROFILE:t.11:ZDS_CONSUMER_SAP_Scope
SRASSADZIN,PROFILE:t.11:ZDS_DEVELOPER
SRASSADZIN,PROFILE:t.11:ZDS_DEVELOPER_SAP_Scope
SRASSADZIN,PROFILE:t.11:ZDS_USERMANAGER
SRASSADZIN,PROFILE:t.11:ZDS_USERMANAGER_SAP_Scope
SSHYDLOUSKI,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
SSHYDLOUSKI,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
SSHYDLOUSKI,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
SSHYDLOUSKI,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
SSHYDLOUSKI,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
SSHYDLOUSKI,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
SSHYDLOUSKI,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
SSHYDLOUSKI,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
SSHYDLOUSKI,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
SSHYRCHANKA,PROFILE:sap.odc:Data_Catalog_User
SSHYRCHANKA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
SSHYRCHANKA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
SSHYRCHANKA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
SSHYRCHANKA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
SSHYRCHANKA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
SSHYRCHANKA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
SSHYRCHANKA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
SSHYRCHANKA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
SSHYRCHANKA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
SSHYRCHANKA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
SSHYRCHANKA,PROFILE:t.11:ZDS_DEVELOPER_SAP_Scope
SSHYRCHANKA,PROFILE:t.11:ZDS_CONSUMER_SAP_Scope
SSHYRCHANKA,PROFILE:t.11:ZDS_USERMANAGER_SAP_Scope
TDABRAVOLSKAYA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
TDABRAVOLSKAYA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
TDABRAVOLSKAYA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
TDABRAVOLSKAYA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
TDABRAVOLSKAYA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
TDABRAVOLSKAYA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
TDABRAVOLSKAYA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
TDABRAVOLSKAYA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
TDABRAVOLSKAYA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
TPITSKO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
TPITSKO,PROFILE:sap.odc:Data_Catalog_Administrator
TPITSKO,PROFILE:sap.odc:Data_Catalog_User
TPITSKO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
TPITSKO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
TPITSKO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
TPITSKO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
TPITSKO,PROFILE:sap.epm:Security_Administrator
TPITSKO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
TPITSKO,PROFILE:t.11:ZDS_DEVELOPER
TPITSKO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
TPITSKO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
TPITSKO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
TPITSKO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
TPITSKO,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
TPITSKO,PROFILE:t.11:ZDS_DEVELOPER_SAP_Scope
TPITSKO_TEST,PROFILE:t.11:ZDS_ADMIN_Scope
TPITSKO_TEST,PROFILE:t.11:G_ADM
TVORSA,PROFILE:sap.odc:Data_Catalog_Administrator
TVORSA,PROFILE:sap.odc:Data_Catalog_User
TVORSA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Administrator
TVORSA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
TVORSA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
TVORSA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
TVORSA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
TVORSA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
TVORSA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
TVORSA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
TVORSA,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
TVORSA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
TVORSA,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
TVORSA,PROFILE:sap.epm:Security_Administrator
TVORSA,PROFILE:t.11:ZDS_DEVELOPER
TVORSA,PROFILE:t.11:ZDS_CONSUMER_SAP_Scope
TVORSA,PROFILE:t.11:ZDS_CONSUMER
TVORSA,PROFILE:t.11:ZDS_DEVELOPER_SAP_Scope
TVORSA,PROFILE:t.11:ZDS_USERMANAGER
TVORSA,PROFILE:t.11:ZDS_USERMANAGER_SAP_Scope
VCOHEN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Consumer
VCOHEN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
VCOHEN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Modeler
VCOHEN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Viewer
VCOHEN,PROFILE:sap.dwc:Data_Warehouse_Cloud_Space_Administrator
VCOHEN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Consumer
VCOHEN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Viewer
VCOHEN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Integrator
VCOHEN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Modeler
VCOHEN,PROFILE:sap.dwc:Scoped_Data_Warehouse_Cloud_Space_Administrator
VDZIAUHO,PROFILE:sap.dwc:Data_Warehouse_Cloud_Integrator
